,class id,filepaths,labels,data set,scientific name
0,0,train/AFRICAN LEOPARD/001.jpg,AFRICAN LEOPARD,train,Panthera pardus pardus
1,0,train/AFRICAN LEOPARD/002.jpg,,train,Panthera pardus pardus
2,0,train/AFRICAN LEOPARD/003.jpg,AFRICAN LEOPARD,train,Panthera pardus pardus
3,0,train/AFRICAN LEOPARD/004.jpg,AFRICAN LEOPARD,train,Panthera pardus pardus
4,0,train/AFRICAN LEOPARD/005.jpg,AFRICAN LEOPARD,train,Panthera pardus pardus
5,0,train/AFRICAN LEOPARD/006.jpg,AFRICAN LEOPARD,train,
6,0,train/AFRICAN LEOPARD/007.jpg,AFRICAN LEOPARD,train,Panthera pardus pardus
7,0,train/AFRICAN LEOPARD/008.jpg,AFRICAN LEOPARD,train,Panthera pardus pardus
8,0,train/AFRICAN LEOPARD/009.jpg,AFRICAN LEOPARD,train,Panthera pardus pardus
9,0,train/AFRICAN LEOPARD/010.jpg,AFRICAN LEOPARD,train,Panthera pardus pardus
10,0,train/AFRICAN LEOPARD/011.jpg,,train,Panthera pardus pardus
11,0,train/AFRICAN LEOPARD/012.jpg,AFRICAN LEOPARD,train,Panthera pardus pardus
12,0,train/AFRICAN LEOPARD/013.jpg,AFRICAN LEOPARD,train,Panthera pardus pardus
13,0,train/AFRICAN LEOPARD/014.jpg,AFRICAN LEOPARD,train,Panthera pardus pardus
14,0,train/AFRICAN LEOPARD/015.jpg,AFRICAN LEOPARD,train,Panthera pardus pardus
15,0,train/AFRICAN LEOPARD/016.jpg,AFRICAN LEOPARD,train,
16,0,train/AFRICAN LEOPARD/017.jpg,AFRICAN LEOPARD,train,Panthera pardus pardus
17,0,train/AFRICAN LEOPARD/018.jpg,AFRICAN LEOPARD,train,Panthera pardus pardus
18,0,train/AFRICAN LEOPARD/019.jpg,AFRICAN LEOPARD,train,Panthera pardus pardus
19,0,train/AFRICAN LEOPARD/020.jpg,AFRICAN LEOPARD,train,Panthera pardus pardus
20,0,train/AFRICAN LEOPARD/021.jpg,AFRICAN LEOPARD,train,Panthera pardus pardus
21,0,train/AFRICAN LEOPARD/022.jpg,AFRICAN LEOPARD,train,Panthera pardus pardus
22,0,train/AFRICAN LEOPARD/023.jpg,AFRICAN LEOPARD,train,Panthera pardus pardus
23,0,train/AFRICAN LEOPARD/024.jpg,AFRICAN LEOPARD,train,Panthera pardus pardus
24,0,train/AFRICAN LEOPARD/025.jpg,AFRICAN LEOPARD,train,Panthera pardus pardus
25,0,train/AFRICAN LEOPARD/026.jpg,AFRICAN LEOPARD,train,Panthera pardus pardus
26,0,train/AFRICAN LEOPARD/027.jpg,AFRICAN LEOPARD,train,Panthera pardus pardus
27,0,train/AFRICAN LEOPARD/028.jpg,AFRICAN LEOPARD,train,Panthera pardus pardus
28,0,train/AFRICAN LEOPARD/029.jpg,AFRICAN LEOPARD,train,Panthera pardus pardus
29,0,train/AFRICAN LEOPARD/030.jpg,AFRICAN LEOPARD,train,Panthera pardus pardus
30,0,train/AFRICAN LEOPARD/031.jpg,AFRICAN LEOPARD,train,Panthera pardus pardus
31,0,train/AFRICAN LEOPARD/032.jpg,AFRICAN LEOPARD,train,Panthera pardus pardus
32,0,train/AFRICAN LEOPARD/033.jpg,AFRICAN LEOPARD,train,Panthera pardus pardus
33,0,train/AFRICAN LEOPARD/034.jpg,AFRICAN LEOPARD,train,Panthera pardus pardus
34,0,train/AFRICAN LEOPARD/035.jpg,AFRICAN LEOPARD,train,Panthera pardus pardus
35,0,train/AFRICAN LEOPARD/036.jpg,AFRICAN LEOPARD,train,Panthera pardus pardus
36,0,train/AFRICAN LEOPARD/037.jpg,AFRICAN LEOPARD,train,Panthera pardus pardus
37,0,train/AFRICAN LEOPARD/038.jpg,AFRICAN LEOPARD,train,Panthera pardus pardus
38,0,train/AFRICAN LEOPARD/039.jpg,AFRICAN LEOPARD,train,Panthera pardus pardus
39,0,train/AFRICAN LEOPARD/040.jpg,AFRICAN LEOPARD,train,Panthera pardus pardus
40,0,train/AFRICAN LEOPARD/041.jpg,AFRICAN LEOPARD,train,Panthera pardus pardus
41,0,train/AFRICAN LEOPARD/042.jpg,AFRICAN LEOPARD,train,Panthera pardus pardus
42,0,train/AFRICAN LEOPARD/043.jpg,AFRICAN LEOPARD,train,Panthera pardus pardus
43,0,train/AFRICAN LEOPARD/044.jpg,AFRICAN LEOPARD,train,Panthera pardus pardus
44,0,train/AFRICAN LEOPARD/045.jpg,AFRICAN LEOPARD,train,Panthera pardus pardus
45,0,train/AFRICAN LEOPARD/046.jpg,AFRICAN LEOPARD,train,Panthera pardus pardus
46,0,train/AFRICAN LEOPARD/047.jpg,AFRICAN LEOPARD,train,Panthera pardus pardus
47,0,train/AFRICAN LEOPARD/048.jpg,AFRICAN LEOPARD,train,Panthera pardus pardus
48,0,train/AFRICAN LEOPARD/049.jpg,AFRICAN LEOPARD,train,Panthera pardus pardus
49,0,train/AFRICAN LEOPARD/050.jpg,AFRICAN LEOPARD,train,Panthera pardus pardus
50,0,train/AFRICAN LEOPARD/051.jpg,AFRICAN LEOPARD,train,Panthera pardus pardus
51,0,train/AFRICAN LEOPARD/052.jpg,AFRICAN LEOPARD,train,Panthera pardus pardus
